wl,GL,G,BL,B,YL,Y,C,bkg
224.87,27.064,51.223,-35.402,19.77,94.612,265.254,-557.986,357.261
225.08,40.862,43.532,-53.717,-4.556,84.342,291.729,-934.807,324.412
225.29,25.058,28.77,-42.022,3.371,80.23,1207.407,-1379.646,399.776
225.5,7.933,29.228,-89.655,-0.287,74.45,164.972,-2652.542,384.564
225.71,24.174,12.603,-269.412,-77.059,75.194,133.54,-2574.545,374.249
225.92,21.689,-17.58,-856.667,-275,78.098,128.571,-1555.556,333.7
226.13,-12.462,-38.602,725,378,85.414,196.774,5113.793,360.388
226.34,6.25,-10.511,363.298,218.085,93.209,236.508,1324.138,304.012
226.55,-10.526,-35.714,251.082,105.195,93.624,282.84,8661.111,254.318
226.76,18.777,-41.048,229.286,76.429,91.781,223.451,1033.951,221.388
226.97,-64.865,-112.162,2794.118,888.235,100.569,340.541,850.246,223.467
227.18,-1331.818,-1386.364,559.434,168.868,107.709,238.389,1516.364,191.952
227.39,-308.621,-629.31,418.605,53.488,93.929,161.564,1629.293,189.137
227.6,936.842,2168.421,382.993,43.537,94.076,126.984,-3710,181.576
227.81,251.282,435.043,919.149,-106.383,89.946,133.835,1059.722,190.931
228.02,172.157,266.667,533.766,88.312,81.105,107.86,1778.409,168.599
228.23,120.303,210,746.154,433.333,77.603,118.125,1003.659,161.942
228.44,106.458,151.076,194.059,87.129,63.147,114.217,853,149.285
228.65,102.857,131.579,163.953,95.349,66.521,145.93,628.767,145.659
228.86,114.395,147.167,93.289,78.188,68.542,140.404,389.53,147.672
229.07,89.539,116.438,91.029,46.438,70.867,151.603,317.588,142.337
229.28,90.148,107.635,79.303,39.434,62.168,139.823,389.888,140.791
229.49,93.887,124.138,67.416,51.873,65.618,125.905,451.397,136.287
229.7,93.192,105.446,63.847,53.731,67.506,120.312,531.561,138.754
229.91,76.691,97.554,45.688,49.924,70.661,186.301,494,145.602
230.12,77.423,82.822,39.694,40.39,63.97,177.744,438.208,135.688
230.33,76.113,81.542,36.214,45.405,63.917,131.612,412.222,140.019
230.54,55.494,75.694,29.172,52.374,51.486,106.276,478.177,135.34
230.75,68.032,90.785,35.809,55.776,46.575,91.209,507.895,143.431
230.96,60.6,83.833,32.113,60,45.084,72.201,443.37,140
231.17,69.833,84.447,26.292,68.693,42.92,56.584,695.023,146.72
231.38,61.612,85.509,22.98,47.475,33.071,50.501,661.039,137.989
231.59,48.968,74.435,21.319,49.231,34.803,40.323,550.345,180.213
231.8,53.831,76.915,13.237,51.502,32.956,21.442,512.913,186.888
232.01,59.008,71.356,4.465,42.068,19.43,14.561,314.464,186.754
232.22,52.294,70.234,9.859,43.77,12.315,-34,363.918,152.673
232.43,54.104,65.335,10.736,37.935,14.42,-21.405,342.909,173.507
232.64,52.703,66.329,6.959,28.313,10.808,-40.254,331.298,187.879
232.85,54.618,73.432,13.953,37.888,16.018,-27.308,309.559,222.688
233.06,40.533,72,6.963,33.172,9.568,1.163,369.978,242.827
233.27,33.816,59.903,22.845,39.045,4.444,0.456,528.618,304.144
233.48,48.684,78.589,20.636,51.398,11.155,6.929,860,450.347
233.69,45.936,81.037,24.847,58.452,16.369,7.953,668.826,490.347
233.9,46.571,67.367,23.05,52.867,15.924,-1.347,520.882,682.32
234.11,43.699,70.058,30.064,60.661,23.689,-3.488,509.863,774.051
234.32,48.633,77.883,32.733,61.755,28.536,1.36,529.326,802.74
234.53,47.416,63.034,24.461,67.554,39.457,11.83,491.176,803.448
234.74,55.595,64.193,21.795,69.658,35.901,4.201,428.668,807.947
234.95,75.095,55.752,22.006,62.46,38.953,7.042,382.534,1227.473
235.16,67.095,48.308,8.246,55.172,41.508,10.41,358.875,685.475
235.37,74.501,60.256,0.654,71.895,43.498,14.969,325.758,1444.048
235.58,81.751,65.282,11.174,59.848,40.541,15.161,303.76,2015.789
235.79,76.647,58.832,33.779,64.548,44.618,23.938,311.095,1242.157
235.99,89.886,72.792,35.417,62.5,47.434,26.844,288.186,818.71
236.2,97.508,62.617,50,76.295,52.114,35.793,328.25,966.667
236.41,102.058,73.756,61.943,74.089,58.616,36.339,403.766,1904.167
236.62,94.577,64.753,64.767,72.539,56.187,39.572,430.691,-2026.027
236.83,110.976,66.376,83.366,74.662,61.202,45.238,497.867,-2172.308
237.04,124.007,77.978,81.565,78.783,57.233,35.304,472.414,-844.444
237.25,136.628,67.248,74.732,67.381,60.033,35.281,400.552,-411.921
237.46,144.224,66.832,80.67,75.951,74.535,31.696,344.352,-420.134
237.67,171.267,65.595,76.563,86.08,81.273,28.84,348.849,-466.667
237.88,179.531,49.893,62.791,73.11,81.795,29.575,367.027,-751.497
238.09,166.667,57.447,64.776,65.821,87.442,28.713,328.505,-440.678
238.3,170.401,60.201,87.122,75.994,91.095,23.264,316.006,-459.649
238.51,170.728,46.362,86.691,88.355,90.399,29.725,288.34,-580.18
238.72,172.212,39.488,88.406,86.542,88.609,30.801,283.609,-588.936
238.93,190.417,70.208,95.957,91.915,80.264,24.044,314.673,-517.375
239.14,212.927,51.951,109.585,79.016,84.759,12.783,297.879,-1005.594
239.35,185.232,66.878,111.696,73.684,87.97,21.559,282.476,-751.546
239.56,190.408,80.204,124.433,97.229,81.966,26.977,261.658,-441.86
239.77,194.455,74.653,114.351,107.517,85.862,26.614,327.406,-260.69
239.98,176.396,55.856,82.975,112.133,96.717,21.289,324.836,-273.81
240.19,172.638,61.811,91.193,145.17,111.296,6.647,355.062,-242.299
240.4,183.372,60.277,69.845,125.942,100.819,16.401,443.791,-212.5
240.61,185.151,97.216,89.865,125,94.406,28.409,336.047,-147.002
240.82,187.164,108.282,61.1,123.014,80.31,26.84,366.603,-127.314
241.02,271.384,169.811,76.398,160.559,91.18,37.838,351.103,-143.554
241.23,245.11,168.454,41.623,146.859,86.187,26.096,314.725,-143.167
241.44,196.658,116.452,17.13,175.463,97.605,28.723,330.601,-155.172
241.65,207.848,122.785,-1.653,164.05,95.349,94.562,331.239,-310.063
241.86,221.555,175.972,-16.387,160.084,83.191,107.062,391.633,-365.704
242.07,224.088,224.088,-246.067,231.461,62.687,146.885,441.593,-328.808
242.28,373.288,419.863,-57.692,273.077,60.531,123.196,458.296,-254.857
242.49,1032.075,935.849,-63.277,198.87,62.737,120.12,603.869,-267.203
242.7,0,0,-40.12,112.275,64.209,119.414,863.721,-171.065
242.91,5985.714,8685.714,-24.422,93.069,62.733,136.782,1070.186,-223.161
243.12,1287.097,1825.806,-0.287,125.501,58.221,133.433,1878.409,-260.261
243.33,5262.5,6612.5,37.931,125.431,61.76,152.717,1110.563,-196.25
243.54,7820,12160,45.617,121.467,55.707,168.877,2169.014,-129.701
243.75,-582.857,-795.714,53.373,146.825,53.095,133.891,5048.276,-138.731
243.96,-242.759,-306.897,56.504,139.431,48.779,137.647,-39350,-260
244.17,-90,-157.083,57.708,130.83,55.804,117.222,4281.081,-670.922
244.38,-78.929,-115.714,105.181,148.705,55.841,132.569,-3119.608,-1089.412
244.58,-103.526,-102.244,113.421,146.579,55.768,135.308,0,-810.4
244.79,-109.119,-107.295,116.229,131.742,59.648,133.293,1941.772,-3315.152
245,-108.182,-76.364,86.667,165.217,62.272,126.612,4718.75,1544
245.21,-93.197,-47.619,164.216,263.235,64.499,131.182,2500,1518.182
245.42,-169.048,-80.952,110.989,198.168,56.787,134.818,1240,-4508.333
245.63,-91.398,-40.502,126.203,254.545,59.622,136.877,2173.77,-2856.757
245.84,-81.481,-35.613,185.065,350,56.512,150.471,2756.604,-1312.5
246.05,-41.106,-33.413,490.141,822.535,52.2,126.474,-3052.273,-504.396
246.26,-56.51,-39.583,-1390,-2150,47.95,123.472,-3785.714,-515.578
246.47,-25.41,-25.137,2283.333,2355.556,49.619,116.667,-18185.714,-688.312
246.68,-42.661,-42.661,-804.255,-825.532,45.979,124.66,2390.741,-2139.623
246.89,-46.781,-105.15,-1578.125,-1231.25,38.863,116.366,5279.167,-882.171
247.1,-29.609,-50.559,-544.828,-378.161,39.442,126.804,1922.667,-14625
247.31,-38.482,-35.772,-1230.769,-848.718,34.838,104.896,719.617,-1069.811
247.51,-62.211,-73.265,-1263.636,-543.182,43.711,112.987,572.34,-1803.077
247.72,-27.716,-56.541,-182.988,-7.884,43.516,98.99,725.551,3745.714
247.93,-45.012,-68.445,-206.034,-55.603,43.918,93.79,1387.395,-8231.25
248.14,-101.825,-161.679,-407.857,-137.857,41.915,111.051,-7290.909,-3109.091
248.35,-90.11,-184.249,-200.386,-55.212,40.193,102.259,-2900,-3905.714
248.56,-156.15,-273.262,-261.435,-37.22,32.027,109.549,30520,-2122.222
248.77,-69.17,-230.83,-108.94,14.238,23.43,110.782,998,-1408.889
248.98,-49.186,-159.283,-256.863,-22.222,21.336,121.488,787.368,-1617.333
249.19,-61.181,-232.068,-157.971,7.729,20.28,117.188,1232.479,60400
249.4,-96.183,-419.084,-243.949,93.631,22.542,71.132,1081.452,2746.809
249.61,-107.2,-504.8,2126.087,-213.043,25.821,65.708,717.073,968.966
249.82,-27.404,-235.577,2710,0,32.077,56.885,648.485,645.333
250.02,-66.25,-345.625,9216.667,100,30.359,47.879,585.385,617.886
250.23,-90.741,-561.111,-3821.429,-500,32.108,87.805,561.338,646.862
250.44,956.522,2926.087,1180,-62.5,36.152,74.725,606.122,581.455
250.65,-597.561,-1348.78,503.39,92.373,42.388,98.02,663.158,730.769
250.86,-246.825,-392.063,204.365,83.333,51.882,98.361,518.467,1040.127
251.07,-613.846,-823.077,140.169,67.416,58.604,94.667,505.592,5796
251.28,-452.941,-560.294,146.575,92.237,65.171,135.036,456.798,943.871
251.49,260.833,334.167,190,145.714,58.991,91.935,438.192,-14440
251.7,216.484,309.341,240.909,165.455,60.357,95.217,1000.658,3945.946
251.91,149.099,225.225,130,146,57.993,50,673.707,-9246.667
252.12,134.759,150.535,109.767,156.744,63.723,121.759,639.326,4123.333
252.32,106.211,108.903,67.411,61.161,90.73,171.127,489.16,1056.303
252.53,97.494,119.134,40.351,-17.544,119.468,218.812,388.032,1024.074
252.74,106.127,115.755,23.333,-64.667,105.198,296.226,384.825,2985.714
252.95,121.622,124.116,-60.241,-68.675,99.305,532.727,377.688,1134.043
253.16,124.782,99.302,96.552,67.816,111.736,2377.778,428.982,516.183
253.37,120.44,100.472,12.698,-146.032,121.684,-221.277,522.133,490.909
